twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam
.392,.364,12,14,3,9,31,.759,88,9,240,New Jersey Nets
.420,.353,20,11,6,8,31,.826,93,9,240,Oklahoma City Thunder
.414,.500,18,9,7,15,19,.824,99,10,240,Sacramento Kings
.432,.500,17,17,5,8,23,.895,91,6,240,Utah Jazz
.321,.357,11,13,7,19,32,.720,77,4,240,Milwaukee Bucks
.458,.316,22,19,5,6,29,.697,95,13,240,Cleveland Cavaliers
.413,.227,19,17,6,11,24,.750,76,6,240,Dallas Mavericks
.400,.462,17,14,10,11,27,.875,77,9,240,Portland Trail Blazers
.372,.294,15,15,1,10,31,.800,83,7,240,Indiana Pacers
.415,.292,14,9,5,9,23,.719,98,4,240,New York Knicks
.354,.348,15,16,6,12,39,.727,82,5,240,Los Angeles Lakers
.446,.333,22,15,2,10,33,.733,93,8,240,Golden State Warriors
.405,.182,17,14,6,11,27,.828,92,6,240,Cleveland Cavaliers
.515,.400,18,21,3,5,23,.947,92,9,240,Boston Celtics
.419,.333,29,6,0,16,28,.800,119,11,240,Houston Rockets
.486,.364,23,13,10,10,24,.654,95,4,240,Los Angeles Clippers
.488,.412,29,19,6,13,29,.880,113,6,240,Minnesota Timberwolves
.418,.250,18,14,4,6,18,.818,88,8,240,New Orleans Hornets
.479,.286,14,23,7,7,28,.852,93,9,240,New Jersey Nets
.494,.450,31,9,6,10,21,.882,110,4,240,Phoenix Suns
.437,.333,18,15,1,14,26,.750,98,9,240,Memphis Grizzlies
.412,.381,17,17,7,13,34,.667,90,6,240,Indiana Pacers
.427,.435,24,10,5,4,31,.867,93,9,240,Dallas Mavericks
.463,.364,20,15,8,11,24,.731,103,5,240,New York Knicks
.484,.429,19,18,6,4,35,.697,89,6,240,Utah Jazz
.447,.188,16,17,8,10,30,.667,81,6,240,Boston Celtics
.422,.313,19,13,4,18,32,.714,95,9,240,Charlotte Bobcats
.390,.231,17,16,4,12,34,.783,81,4,240,New Jersey Nets
.417,.267,20,14,6,19,34,.778,105,8,240,Toronto Raptors
.388,.316,12,22,4,13,26,.818,86,10,240,Washington Wizards
.470,.450,26,11,2,7,28,.688,98,9,240,Philadelphia 76ers
.452,.278,19,12,4,5,31,.793,94,8,240,Atlanta Hawks
.408,.250,18,14,4,13,27,.444,75,11,240,Detroit Pistons
.402,.222,19,13,5,8,32,.840,91,7,240,Cleveland Cavaliers
.422,.267,23,14,7,7,28,.400,86,15,240,Sacramento Kings
.471,.481,19,12,2,7,29,.750,107,7,240,Golden State Warriors
.375,.281,16,12,2,6,25,.818,87,12,240,Dallas Mavericks
.452,.333,22,19,5,13,23,.607,88,11,240,New Jersey Nets
.329,.143,10,19,7,14,36,.708,74,7,240,Oklahoma City Thunder
.429,.278,18,19,4,14,29,.778,92,7,240,Memphis Grizzlies
.429,.263,21,17,10,10,27,.909,81,7,240,Washington Wizards
.506,.294,25,14,2,9,25,.615,95,6,240,Cleveland Cavaliers
.463,.222,20,17,9,11,31,.690,98,3,240,Los Angeles Clippers
.465,.333,13,20,12,6,31,.722,85,5,240,Los Angeles Lakers
.374,.292,19,14,4,21,36,.579,92,10,240,Indiana Pacers
.413,.200,18,15,4,11,29,.792,85,7,240,Houston Rockets
.402,.259,24,6,5,9,23,.800,89,8,240,Phoenix Suns
.378,.071,20,13,2,19,30,.455,79,9,240,Toronto Raptors
.417,.294,16,15,2,13,32,.818,93,5,240,Minnesota Timberwolves
.380,.300,19,15,2,12,23,.826,82,8,240,Charlotte Bobcats
.429,.433,27,10,8,12,30,.714,106,6,240,Houston Rockets
.341,.217,13,8,1,18,26,.857,77,2,240,Philadelphia 76ers
.409,.364,19,19,3,13,30,.769,90,9,240,Golden State Warriors
.457,.333,24,7,3,9,30,.762,97,3,240,Detroit Pistons
.449,.333,22,18,8,8,25,.842,91,5,240,Toronto Raptors
.418,.250,17,8,3,14,32,.647,81,5,240,Portland Trail Blazers
.444,.231,22,16,2,10,27,.667,83,4,240,Detroit Pistons
.513,.385,18,14,8,3,28,.880,105,8,240,Oklahoma City Thunder
.397,.417,14,9,4,7,27,.765,89,8,240,Milwaukee Bucks
.537,.278,18,16,3,10,27,.733,115,5,240,San Antonio Spurs
.448,.357,23,10,4,13,26,.611,102,9,240,Sacramento Kings
.453,.409,20,15,2,15,22,.941,103,8,240,San Antonio Spurs
.507,.526,28,15,4,6,24,.818,105,6,240,Cleveland Cavaliers
.471,.550,23,16,6,6,37,.767,100,4,240,Houston Rockets
.375,.421,16,14,2,10,33,.806,93,7,240,Denver Nuggets
.447,.400,19,16,7,11,42,.633,105,6,265,Minnesota Timberwolves
.442,.316,17,11,0,10,26,.667,94,4,240,Chicago Bulls
.500,.375,24,18,3,16,33,.636,103,5,240,New Orleans Hornets
.393,.429,11,9,6,14,34,.469,87,8,240,Milwaukee Bucks
.488,.417,26,12,2,9,26,.667,97,6,240,Washington Wizards
.486,.478,25,10,2,5,26,.706,95,4,240,Phoenix Suns
.394,.500,16,13,9,11,23,.774,87,4,240,Utah Jazz
.468,.300,18,14,2,12,35,.750,95,4,240,Dallas Mavericks
.507,.250,12,22,5,8,22,.867,102,0,240,Denver Nuggets
.506,.375,25,11,7,11,20,.696,102,8,240,Toronto Raptors
.461,.308,24,17,3,10,29,.667,98,15,240,Cleveland Cavaliers
.375,.333,17,11,8,12,33,.762,87,3,240,Indiana Pacers
.434,.421,19,12,2,12,27,.885,97,7,240,New Orleans Hornets
.466,.333,27,23,13,11,25,.774,99,7,240,Utah Jazz
.444,.316,20,23,9,14,39,.708,95,11,265,Milwaukee Bucks
.487,.500,22,18,3,12,24,.727,98,8,240,Minnesota Timberwolves
.415,.278,24,10,5,9,26,.786,95,6,240,Houston Rockets
.507,.200,21,15,4,9,29,.769,99,9,240,Chicago Bulls
.427,.250,15,12,3,4,30,.714,96,8,240,Phoenix Suns
.346,.333,13,17,7,14,34,.824,77,2,240,New Jersey Nets
.410,.294,17,15,5,11,32,.870,93,4,240,Indiana Pacers
.439,.333,24,16,8,11,23,.800,89,9,240,Washington Wizards
.378,.417,12,8,5,4,23,.818,79,12,240,Boston Celtics
.539,.462,29,17,4,6,28,.765,107,8,240,Dallas Mavericks
.484,.357,29,13,0,8,37,.696,109,6,265,Philadelphia 76ers
.378,.120,16,7,6,11,31,.737,99,11,265,Houston Rockets
.450,.500,22,12,7,12,24,.654,92,1,240,New Jersey Nets
.430,.067,20,12,7,17,23,.633,100,9,240,Memphis Grizzlies
.405,.238,18,8,4,8,25,.667,87,5,240,Denver Nuggets
.390,.318,20,19,6,12,32,.714,91,12,240,Golden State Warriors
.360,.320,21,12,11,7,35,.680,87,9,240,New York Knicks
.368,.300,24,11,3,18,31,.774,100,10,240,Cleveland Cavaliers
.418,.208,24,13,3,15,28,.864,100,8,265,Portland Trail Blazers
.396,.350,16,10,5,19,31,.667,91,9,240,Minnesota Timberwolves
.440,.313,19,9,6,14,27,.794,112,8,240,Sacramento Kings
.507,.385,23,13,2,9,22,.913,102,13,240,Boston Celtics
.391,.200,14,16,4,17,29,.545,82,12,240,Memphis Grizzlies
.388,.278,19,14,4,15,28,.682,82,8,240,Detroit Pistons
.368,.318,16,12,4,16,24,.730,98,4,240,Phoenix Suns
.299,.071,12,19,4,14,28,.625,57,9,240,Cleveland Cavaliers
.378,.348,19,15,2,14,33,.833,96,13,240,Minnesota Timberwolves
.477,.389,26,11,0,8,28,.824,103,3,240,Philadelphia 76ers
.345,.222,8,14,7,14,29,.857,86,3,240,Portland Trail Blazers
.491,.350,31,12,6,12,28,.800,133,11,265,Sacramento Kings
.514,.154,19,23,6,6,31,.750,95,7,240,Sacramento Kings
.471,.364,22,12,6,4,36,.778,91,4,240,Chicago Bulls
.439,.286,22,15,4,14,23,.808,99,6,240,Detroit Pistons
.506,.433,28,11,5,7,20,.818,110,10,240,Golden State Warriors
.490,.278,23,8,3,13,22,.722,112,8,240,Houston Rockets
.413,.409,21,11,9,11,30,.737,89,4,240,Dallas Mavericks
.420,.296,22,7,5,13,33,.767,105,3,240,Miami Heat
.395,.333,14,11,6,13,31,.850,84,4,240,Milwaukee Bucks
.391,.387,19,13,4,12,38,.500,89,3,265,Orlando Magic
.477,.320,32,14,3,7,32,.773,109,11,265,New Jersey Nets
.543,.333,25,13,5,4,29,.750,101,7,240,Toronto Raptors
.506,.483,21,14,1,8,18,.868,125,5,240,New York Knicks
.461,.435,23,16,5,12,29,.556,102,3,240,Miami Heat
.474,.400,20,18,6,6,32,.833,97,8,240,Washington Wizards
.456,.500,22,5,3,15,21,.757,124,5,240,Orlando Magic
.421,.333,15,9,2,13,29,.794,94,5,240,Charlotte Bobcats
.529,.214,23,15,2,12,29,.731,112,8,240,Los Angeles Clippers
.440,.368,14,13,3,11,30,.774,105,9,265,Houston Rockets
.326,.389,13,7,8,16,37,.792,86,4,240,Indiana Pacers
.424,.263,22,12,4,15,30,.647,88,3,240,New Jersey Nets
.315,.321,13,15,7,14,35,.800,83,9,240,New York Knicks
.475,.357,28,10,7,11,22,.765,94,10,240,Milwaukee Bucks
.481,.471,26,13,2,11,28,.758,111,7,240,Portland Trail Blazers
.434,.462,17,8,4,8,31,.611,89,5,240,Dallas Mavericks
.475,.235,27,12,4,15,30,.652,95,3,240,Toronto Raptors
.488,.429,26,21,8,16,27,.571,99,6,240,Cleveland Cavaliers
.494,.385,27,13,4,7,25,.833,106,6,240,Atlanta Hawks
.406,.333,19,15,4,11,32,.769,81,4,240,Charlotte Bobcats
.442,.464,18,12,9,6,24,.750,96,2,240,Miami Heat
.378,.211,21,14,5,18,29,.750,99,10,240,Cleveland Cavaliers
.512,.462,27,15,1,21,24,.519,106,6,240,Sacramento Kings
.324,.194,13,13,3,9,29,.696,70,7,240,Dallas Mavericks
.440,.333,16,18,5,12,34,.818,99,9,240,Minnesota Timberwolves
.500,.167,23,11,3,8,22,.917,89,5,240,New Jersey Nets
.471,.400,26,9,5,8,31,.733,95,6,240,Toronto Raptors
.413,.150,12,12,8,11,34,.818,92,7,240,Los Angeles Lakers
.430,.375,21,10,5,7,31,.708,97,15,240,Denver Nuggets
.446,.111,18,7,3,17,30,.682,98,6,240,Sacramento Kings
.459,.407,19,13,2,13,21,.750,106,3,240,Orlando Magic
.466,.360,28,15,2,10,21,.706,89,3,240,Dallas Mavericks
.488,.214,28,13,3,11,27,.792,100,3,240,New Jersey Nets
.440,.333,20,9,7,7,37,.455,84,3,240,Milwaukee Bucks
.459,.440,24,14,6,7,27,.903,107,10,240,Indiana Pacers
.425,.091,21,9,5,11,29,.818,94,7,240,Oklahoma City Thunder
.377,.143,14,12,2,16,27,.714,84,2,240,Memphis Grizzlies
.446,.154,22,16,6,12,30,.650,81,5,240,Toronto Raptors
.489,.355,25,11,6,10,28,.800,121,6,240,New York Knicks
.358,.233,24,15,4,18,41,.739,92,6,265,Charlotte Bobcats
.432,.200,19,15,5,21,26,.676,102,6,240,Minnesota Timberwolves
.450,.519,26,13,2,11,22,.682,101,9,240,Utah Jazz
.390,.500,17,13,11,13,31,.762,82,3,240,Chicago Bulls
.364,.233,12,16,5,11,35,.897,89,6,265,Miami Heat
.419,.267,19,13,6,5,29,.727,82,9,240,Detroit Pistons
.434,.429,18,16,9,8,31,.850,98,11,240,Cleveland Cavaliers
.543,.375,20,10,4,8,27,.857,100,3,240,Los Angeles Lakers
.482,.200,22,10,4,14,32,.828,107,5,240,Oklahoma City Thunder
.457,.409,21,18,3,15,34,.862,108,7,240,Indiana Pacers
.422,.333,14,14,6,9,36,.733,89,7,240,New York Knicks
.500,.063,23,19,8,12,21,.848,111,15,240,Minnesota Timberwolves
.443,.182,26,14,6,6,28,.750,87,9,240,Washington Wizards
.416,.357,20,10,4,10,21,.867,95,13,240,Utah Jazz
.462,.500,25,12,4,10,33,.800,102,3,265,Memphis Grizzlies
.429,.214,19,13,2,8,41,.719,98,10,265,Philadelphia 76ers
.427,.278,22,19,6,10,35,.682,90,6,265,Sacramento Kings
.439,.375,20,15,3,11,27,.800,95,11,240,Toronto Raptors
.459,.214,22,9,4,12,33,.727,97,6,240,Philadelphia 76ers
.356,.318,16,14,9,9,32,.818,77,5,240,Dallas Mavericks
.432,.346,18,15,3,15,27,.667,93,4,240,Los Angeles Clippers
.291,.200,11,13,3,8,24,.818,59,5,240,Atlanta Hawks
.400,.308,19,21,6,12,22,.765,86,6,240,Utah Jazz
.382,.571,16,15,1,9,27,.800,88,3,240,Cleveland Cavaliers
.474,.333,23,9,1,6,21,.800,97,7,240,Denver Nuggets
.447,.250,22,20,2,13,32,.676,112,11,265,Sacramento Kings
.458,.348,20,13,4,12,25,.839,110,8,240,Houston Rockets
.333,.333,12,11,3,12,23,.690,74,5,240,Detroit Pistons
.354,.267,15,13,2,14,30,.588,72,6,240,Toronto Raptors
.378,.400,19,13,6,17,27,1.000,92,11,240,New York Knicks
.407,.389,25,16,6,13,35,.769,91,8,240,Washington Wizards
.468,.333,23,8,4,8,26,.750,87,6,240,Charlotte Bobcats
.321,.300,19,16,6,18,33,.679,79,7,240,Cleveland Cavaliers
.405,.259,20,14,5,8,35,.778,74,4,240,Phoenix Suns
.389,.296,19,8,1,19,28,.880,104,2,240,Houston Rockets
.459,.333,23,11,2,13,29,.815,109,6,240,Golden State Warriors
.469,.625,20,11,1,8,25,.917,103,7,240,Toronto Raptors
.378,.250,19,9,8,16,20,.667,81,10,240,Milwaukee Bucks
.444,.333,23,17,5,6,33,.810,86,4,240,New Jersey Nets
.362,.267,15,11,0,5,27,.720,72,6,240,San Antonio Spurs
.430,.346,21,11,9,9,31,.714,98,10,240,New York Knicks
.420,.250,27,17,4,15,32,.765,85,11,240,Utah Jazz
.474,.333,16,18,5,11,31,.778,92,7,240,Indiana Pacers
.430,.267,20,10,3,9,31,.611,83,7,240,Boston Celtics
.425,.429,25,14,1,12,30,.828,107,5,240,Indiana Pacers
.461,.385,16,13,4,7,34,.727,83,4,240,Milwaukee Bucks
.459,.333,21,9,5,6,30,.950,102,4,240,Golden State Warriors
.505,.500,30,16,6,10,32,.821,125,8,240,Minnesota Timberwolves
.452,.357,18,16,2,11,30,.833,101,6,240,Cleveland Cavaliers
.465,.375,20,17,2,10,31,.850,89,2,240,Oklahoma City Thunder
.482,.308,19,17,3,12,35,.786,106,10,240,Washington Wizards
.452,.259,19,16,9,12,34,.676,96,3,240,Orlando Magic
.513,.294,24,16,1,7,25,.833,95,5,240,Phoenix Suns
.395,.333,16,17,6,18,21,.727,81,6,240,Portland Trail Blazers
.476,.000,20,11,11,11,31,.750,98,5,240,Toronto Raptors
.463,.455,25,15,8,11,34,.640,95,1,240,Cleveland Cavaliers
.557,.500,22,22,2,11,23,.607,105,6,240,Los Angeles Clippers
.419,.375,29,17,4,16,17,.765,91,11,240,Utah Jazz
.360,.083,16,9,5,16,28,.828,89,8,240,Sacramento Kings
.512,.154,23,13,9,7,29,.852,109,9,240,Washington Wizards
.443,.333,19,8,6,13,30,.781,100,4,240,Detroit Pistons
.507,.308,19,21,4,9,19,.885,103,4,240,Golden State Warriors
.364,.167,13,14,7,15,29,.727,83,8,240,Los Angeles Clippers
.412,.267,15,10,5,8,33,.692,96,4,240,Indiana Pacers
.418,.368,19,12,3,8,35,.739,90,2,240,Atlanta Hawks
.465,.368,26,20,5,19,34,.720,117,7,265,Minnesota Timberwolves
.438,.167,19,10,6,12,29,.762,88,7,240,Memphis Grizzlies
.461,.500,23,9,3,14,23,.900,107,3,240,Phoenix Suns
.487,.250,19,14,7,9,24,.818,94,11,240,Toronto Raptors
.547,.167,21,14,5,5,26,.750,105,7,240,Utah Jazz
.464,.364,16,14,4,11,31,.800,106,6,240,Houston Rockets
.417,.263,13,17,5,11,38,.697,88,7,240,Miami Heat
.367,.250,16,15,2,19,30,.615,78,13,240,Portland Trail Blazers
.471,.273,23,11,3,10,24,1.000,102,7,240,New York Knicks
.410,.238,19,11,7,7,33,.750,90,6,240,Orlando Magic
.455,.308,27,13,6,11,34,.652,103,4,240,Cleveland Cavaliers
.466,.440,26,18,4,16,33,.870,113,12,265,Golden State Warriors
.479,.429,21,14,2,6,25,.760,92,3,240,New Jersey Nets
.413,.304,20,13,4,15,21,.846,95,5,240,Los Angeles Lakers
.380,.333,22,6,6,17,26,.818,87,5,240,Detroit Pistons
.426,.333,18,7,1,13,30,.679,117,7,290,Washington Wizards
.461,.650,22,19,6,11,22,.733,94,7,240,Philadelphia 76ers
.342,.111,14,17,4,8,32,.652,71,13,240,Boston Celtics
.467,.100,27,12,2,13,27,.821,110,9,265,Toronto Raptors
.468,.400,21,25,8,9,36,.833,100,4,240,Minnesota Timberwolves
.407,.333,15,12,9,8,31,.625,89,6,240,Indiana Pacers
.461,.200,20,12,2,9,29,.773,91,8,240,Atlanta Hawks
.403,.231,20,17,5,14,35,.750,88,2,240,Charlotte Bobcats
.427,.400,18,14,6,8,27,.821,93,4,240,Washington Wizards
.403,.500,19,11,3,10,28,.714,81,0,240,New Jersey Nets
.337,.214,21,15,5,19,33,.727,87,10,240,Toronto Raptors
.432,.250,15,14,5,7,28,.933,96,6,240,New Orleans Hornets
.465,.250,22,17,3,16,23,.625,95,8,240,Houston Rockets
.372,.333,23,14,1,15,27,.722,81,12,240,Utah Jazz
.444,.444,10,8,4,10,20,.741,96,6,240,Los Angeles Lakers
.506,.545,19,14,1,11,21,.667,106,5,240,Detroit Pistons
.405,.444,20,12,4,14,28,.794,103,11,240,Oklahoma City Thunder
.434,.313,19,18,7,6,29,.727,87,8,240,Cleveland Cavaliers
.459,.526,16,17,0,10,28,.875,99,5,240,Denver Nuggets
.421,.375,21,8,3,15,32,.842,102,5,240,New Orleans Hornets
.395,.357,18,7,6,14,31,.613,92,7,240,Washington Wizards
.413,.167,16,16,9,12,26,.762,93,11,240,Toronto Raptors
.493,.278,25,15,1,10,23,.792,98,9,240,Milwaukee Bucks
.474,.250,17,17,3,14,25,.739,97,8,240,Orlando Magic
.390,.308,14,15,4,14,27,.815,90,8,240,Cleveland Cavaliers
.508,.350,20,16,3,3,24,.788,99,5,240,Denver Nuggets
.356,.300,12,13,3,9,27,.741,78,7,240,Charlotte Bobcats
.430,.263,28,12,5,16,28,.909,106,7,265,Houston Rockets
.458,.286,13,15,3,8,26,.704,89,10,240,Washington Wizards
.427,.444,14,11,3,16,21,.533,86,7,240,San Antonio Spurs
.437,.545,18,20,12,7,29,.815,90,10,240,Sacramento Kings
.436,.200,22,9,3,11,25,.857,87,4,240,Toronto Raptors
.453,.500,23,12,7,6,26,.795,112,8,240,Cleveland Cavaliers
.427,.529,26,16,8,7,26,.708,90,7,240,Portland Trail Blazers
.436,.368,23,10,8,6,24,.706,87,7,240,Detroit Pistons
.468,.333,20,11,5,10,20,.524,88,2,240,Los Angeles Clippers
.435,.263,22,17,7,10,28,.500,84,7,240,Minnesota Timberwolves
.463,.300,16,12,6,10,28,.750,92,4,240,New Jersey Nets
.420,.261,20,8,6,5,29,.850,97,12,240,New York Knicks
.446,.250,18,7,3,9,23,.762,93,8,240,New Orleans Hornets
.311,.217,13,7,3,14,25,.800,77,12,240,Milwaukee Bucks
.453,.091,18,11,8,17,27,.739,96,8,240,Utah Jazz
.429,.261,31,14,1,20,29,.833,94,12,240,Milwaukee Bucks
.425,.143,24,10,5,12,32,.818,88,6,240,Los Angeles Lakers
.424,.364,20,10,0,17,27,.516,100,4,240,Orlando Magic
.507,.333,22,15,5,11,33,.643,100,6,240,Los Angeles Clippers
.506,.353,21,14,6,10,24,.688,97,7,240,Boston Celtics
.473,.450,22,15,5,11,22,.783,97,4,240,Charlotte Bobcats
.438,.200,18,13,4,11,31,.889,106,8,240,Denver Nuggets
.442,.250,21,11,5,11,23,.714,82,4,240,New Jersey Nets
.364,.250,17,12,8,8,31,.818,87,8,240,Portland Trail Blazers
.475,.333,22,16,8,10,23,.885,105,10,240,Cleveland Cavaliers
.402,.296,17,13,5,14,34,.769,98,4,240,New York Knicks
.459,.394,19,12,3,11,27,.696,107,9,240,Phoenix Suns
.435,.167,19,13,0,15,28,.750,100,8,240,Sacramento Kings
.412,.400,18,15,4,13,26,.818,100,8,240,Minnesota Timberwolves
.452,.300,22,14,8,7,33,.867,92,6,240,Washington Wizards
.371,.238,16,7,8,15,25,.875,92,6,240,Charlotte Bobcats
.513,.435,28,9,4,6,24,.813,105,8,240,Cleveland Cavaliers
.475,.320,28,16,2,9,30,.462,90,4,240,Chicago Bulls
.409,.125,16,12,8,14,32,.800,93,8,265,Memphis Grizzlies
.392,.235,16,13,4,9,27,.923,78,6,240,Milwaukee Bucks
.389,.259,23,8,5,14,31,.731,100,6,240,Minnesota Timberwolves
.494,.429,24,10,3,11,31,1.000,95,0,240,New Orleans Hornets
.513,.167,27,6,3,9,27,.741,105,2,240,Utah Jazz
.506,.500,18,9,4,7,26,.444,92,7,240,Washington Wizards
.344,.125,13,11,1,16,30,.813,80,7,240,Orlando Magic
.325,.250,12,19,2,11,33,.697,79,8,240,Los Angeles Clippers
.412,.250,24,15,4,16,25,.571,86,8,240,New Jersey Nets
.542,.300,21,11,4,7,20,.759,103,10,240,Philadelphia 76ers
.408,.357,25,14,5,5,32,.815,89,12,240,Boston Celtics
.440,.214,18,11,5,12,31,.765,96,9,240,Cleveland Cavaliers
.455,.231,14,20,7,10,37,.698,103,2,240,Denver Nuggets
.434,.111,20,12,3,14,36,.692,92,4,240,Golden State Warriors
.398,.400,18,15,4,14,31,.824,84,10,240,Memphis Grizzlies
.417,.250,22,13,9,17,26,.727,92,7,240,New Orleans Hornets
.494,.250,16,12,1,17,24,.611,103,5,240,Chicago Bulls
.469,.400,18,20,8,14,31,.759,104,1,240,Sacramento Kings
.407,.167,20,14,5,11,24,.667,83,2,240,Atlanta Hawks
.434,.273,14,6,2,9,26,.737,89,8,240,Detroit Pistons
.451,.250,22,7,2,9,22,.826,108,10,240,Houston Rockets
.512,.318,18,13,2,11,26,.850,112,8,240,Indiana Pacers
.360,.000,19,12,3,12,32,.923,74,5,240,Toronto Raptors
.412,.368,19,21,7,18,40,.750,101,3,265,Oklahoma City Thunder
.392,.313,18,16,3,10,27,.818,85,12,240,Los Angeles Clippers
.514,.421,27,17,7,7,31,.632,94,6,240,Cleveland Cavaliers
.530,.417,28,18,3,12,30,.727,114,11,240,Denver Nuggets
.463,.353,14,13,4,12,28,.778,103,9,240,Charlotte Bobcats
.471,.529,25,15,1,11,29,.750,101,8,265,New Orleans Hornets
.494,.231,21,15,4,12,22,.957,108,8,240,New York Knicks
.420,.316,22,13,3,15,30,.682,95,6,240,Philadelphia 76ers
.470,.231,19,10,1,12,36,.826,100,7,240,Sacramento Kings
.500,.333,22,8,3,9,23,.722,100,4,240,Toronto Raptors
.474,.125,23,15,10,12,36,.524,86,4,240,Utah Jazz
.432,.286,20,12,4,12,27,.417,85,6,240,Milwaukee Bucks
.402,.313,25,9,7,12,24,.789,86,4,240,Boston Celtics
.536,.440,21,11,3,11,28,.760,120,8,240,Dallas Mavericks
.400,.300,19,12,6,9,23,.588,88,11,240,Golden State Warriors
.426,.286,16,13,5,5,37,.692,89,2,240,Charlotte Bobcats
.448,.348,20,10,4,17,28,.781,119,8,265,Los Angeles Clippers
.425,.333,20,13,5,12,23,.842,92,10,240,Detroit Pistons
.422,.294,15,17,7,20,24,.800,105,8,240,Minnesota Timberwolves
.364,.423,14,18,6,11,33,.792,86,8,240,Milwaukee Bucks
.412,.250,22,18,2,13,31,.875,96,9,240,New York Knicks
.462,.238,21,16,6,7,34,.640,93,8,240,Orlando Magic
.333,.176,20,16,3,15,42,.778,71,5,240,San Antonio Spurs
.514,.556,21,15,2,12,23,.708,96,8,240,Toronto Raptors
.436,.412,27,14,6,10,35,.667,83,5,240,Utah Jazz
.402,.217,26,7,1,8,32,.833,86,6,240,Atlanta Hawks
.406,.379,21,7,2,16,22,.765,102,10,240,Houston Rockets
.424,.391,20,10,1,10,27,.800,97,8,240,Milwaukee Bucks
.364,.174,15,15,3,12,33,.864,87,5,240,Minnesota Timberwolves
.418,.500,15,18,6,11,38,.710,95,6,240,New Jersey Nets
.406,.400,16,5,3,2,24,.667,88,8,240,New Orleans Hornets
.452,.083,18,18,0,14,35,.714,97,3,240,Sacramento Kings
.463,.273,15,16,7,14,21,.625,94,4,240,Washington Wizards
.419,.188,17,15,3,9,32,.739,82,3,240,Miami Heat
.422,.478,23,17,1,16,27,.613,100,9,240,Cleveland Cavaliers
.515,.600,23,18,2,9,23,.800,100,11,240,Detroit Pistons
.525,.444,15,20,5,2,31,.857,94,3,240,Oklahoma City Thunder
.550,.313,21,15,5,7,22,.714,108,4,240,Denver Nuggets
.393,.125,19,8,4,11,23,.467,75,8,240,Los Angeles Lakers
.467,.300,25,12,10,11,25,.750,108,7,240,Phoenix Suns
.416,.357,15,12,1,9,33,.706,93,7,240,Los Angeles Clippers
.438,.158,24,12,4,12,30,.800,89,5,240,Los Angeles Lakers
.386,.526,20,11,2,10,16,.789,79,9,240,Detroit Pistons
.410,.250,15,12,7,13,26,.750,102,5,240,Denver Nuggets
.371,.235,15,17,1,9,25,.815,78,6,240,Los Angeles Clippers
.390,.444,15,17,4,13,22,.765,81,6,240,Minnesota Timberwolves
.348,.333,15,6,5,13,26,.810,85,8,240,New Jersey Nets
.478,.182,22,14,4,6,30,.867,94,7,240,Charlotte Bobcats
.453,.300,16,15,2,13,25,.783,89,5,240,New Orleans Hornets
.419,.444,19,11,2,11,34,.793,103,8,240,Indiana Pacers
.440,.231,14,16,7,13,31,.846,91,3,240,Philadelphia 76ers
.402,.182,18,16,3,15,27,.774,96,8,240,Sacramento Kings
.458,.429,23,16,3,9,30,.864,101,10,240,Utah Jazz
.388,.300,19,14,5,13,29,.800,80,2,240,New Jersey Nets
.425,.333,22,19,5,19,29,.870,99,6,240,Los Angeles Lakers
.493,.500,24,26,4,12,28,.765,100,15,240,Sacramento Kings
.500,.389,25,15,5,18,28,.625,109,4,265,Indiana Pacers
.464,.281,27,8,2,12,28,.600,105,5,240,Houston Rockets
.388,.130,14,7,9,3,37,.786,87,7,240,Milwaukee Bucks
.354,.292,16,16,2,17,32,.694,90,7,240,Minnesota Timberwolves
.440,.500,20,10,2,6,32,.556,90,5,240,Atlanta Hawks
.349,.231,8,15,6,12,35,.652,76,5,240,Washington Wizards
.500,.231,16,11,1,13,22,.792,96,8,240,New Orleans Hornets
.414,.429,26,10,7,11,30,.850,95,9,240,Toronto Raptors
.455,.214,18,14,3,10,30,.900,100,11,240,Utah Jazz
.488,.500,16,7,4,6,23,.667,99,6,240,San Antonio Spurs
.506,.263,24,13,4,9,34,.773,106,5,240,Phoenix Suns
.500,.222,25,15,3,8,33,.808,101,4,240,Toronto Raptors
.538,.400,22,21,4,12,24,.613,107,9,240,Memphis Grizzlies
.441,.286,19,8,4,17,26,.933,100,5,240,Detroit Pistons
.393,.263,18,11,8,11,24,.786,93,11,240,Golden State Warriors
.366,.067,17,6,5,8,24,.679,80,7,240,Atlanta Hawks
.476,.286,18,12,1,9,25,.650,97,3,240,Sacramento Kings
.381,.222,18,17,2,18,32,.645,88,4,240,Minnesota Timberwolves
.458,.455,20,15,3,5,28,.586,88,3,240,Los Angeles Clippers
.398,.200,22,19,3,10,39,.769,96,4,240,Washington Wizards
.516,.591,27,10,7,7,30,.800,119,5,240,Cleveland Cavaliers
.455,.250,18,20,1,10,23,.806,99,14,240,Utah Jazz
.488,.500,21,16,5,15,28,.667,101,6,240,Detroit Pistons
.370,.294,20,14,6,18,33,.815,95,9,240,Minnesota Timberwolves
.471,.467,23,21,3,5,27,.667,87,3,240,Los Angeles Clippers
.439,.478,18,15,3,13,27,.781,108,8,240,Milwaukee Bucks
.449,.286,21,17,4,11,25,.850,105,9,240,Orlando Magic
