twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam
.500,.417,26,8,7,13,30,.862,116,9,240,Oklahoma City Thunder
.466,.167,20,13,5,6,38,.828,94,4,240,Toronto Raptors
.521,.400,14,18,5,10,27,.846,113,7,240,New York Knicks
.482,.462,24,13,4,12,38,.682,103,7,240,San Antonio Spurs
.402,.083,19,5,8,9,35,.838,98,8,240,Utah Jazz
.506,.538,24,14,14,6,41,.750,107,7,240,Indiana Pacers
.541,.400,25,17,5,13,24,.652,105,9,240,Orlando Magic
.400,.318,18,12,7,16,32,.500,86,6,240,Portland Trail Blazers
.431,.667,16,18,2,6,31,.844,89,6,240,Oklahoma City Thunder
.447,.263,17,16,3,20,39,.652,88,3,240,Chicago Bulls
.571,.435,31,18,7,12,31,.844,125,7,240,New York Knicks
.425,.294,14,12,3,10,34,.815,95,6,240,Miami Heat
.471,.526,30,15,8,7,39,.846,112,10,240,Los Angeles Lakers
.459,.280,22,9,9,8,35,.767,108,7,240,New Orleans Hornets
.405,.353,20,15,4,9,33,.857,90,8,240,Philadelphia 76ers
.429,.364,13,15,6,18,27,.696,86,7,240,Sacramento Kings
.488,.364,22,14,3,11,33,.667,106,8,240,Toronto Raptors
.439,.250,21,13,4,16,30,.708,94,10,240,San Antonio Spurs
.378,.188,14,15,8,16,25,.857,89,7,240,Washington Wizards
.476,.462,27,13,2,10,30,.875,98,5,240,Dallas Mavericks
.575,.474,37,14,6,8,33,.737,123,6,240,Charlotte Bobcats
.475,.538,24,7,3,9,33,.750,107,3,240,Denver Nuggets
.449,.429,14,16,5,5,37,.679,90,6,240,Orlando Magic
.461,.458,22,11,6,11,21,.843,124,13,240,New York Knicks
.475,.091,17,12,5,14,33,.741,97,2,240,Memphis Grizzlies
.370,.571,16,14,3,7,36,.800,82,9,240,Oklahoma City Thunder
.480,.526,26,18,6,6,32,1.000,103,10,240,Utah Jazz
.531,.480,32,9,5,6,32,.818,116,10,240,San Antonio Spurs
.489,.467,23,9,4,15,29,.643,115,5,265,Detroit Pistons
.557,.409,32,18,11,14,32,.800,117,10,240,Los Angeles Lakers
.322,.333,20,15,6,15,34,.938,75,10,240,New Orleans Hornets
.447,.267,16,10,1,10,31,.769,102,3,240,Toronto Raptors
.533,.455,26,15,6,10,40,.778,99,5,240,Boston Celtics
.467,.571,24,17,2,10,37,.923,106,6,240,Denver Nuggets
.538,.538,21,12,5,6,27,.842,123,5,240,Phoenix Suns
.507,.316,26,12,5,12,31,.500,99,7,240,Los Angeles Clippers
.411,.348,26,13,2,12,36,.846,93,9,240,Indiana Pacers
.548,.385,29,15,6,5,33,.800,117,11,240,Oklahoma City Thunder
.494,.632,25,9,3,3,28,.783,106,7,240,San Antonio Spurs
.447,.333,20,7,9,9,30,.697,94,9,240,Utah Jazz
.385,.300,21,8,7,10,32,.815,88,7,240,Dallas Mavericks
.438,.444,21,13,6,7,37,.857,100,7,240,Indiana Pacers
.395,.400,19,12,9,10,28,.889,98,9,240,Los Angeles Lakers
.475,.316,23,10,2,9,35,.758,107,4,265,New Jersey Nets
.521,.400,18,20,9,5,26,.960,110,10,240,New York Knicks
.439,.435,25,15,7,15,30,.769,116,8,265,Washington Wizards
.449,.417,25,10,5,7,26,.609,89,11,240,Boston Celtics
.480,.480,22,15,11,8,30,.750,99,7,240,New York Knicks
.421,.286,20,12,4,4,36,.684,83,2,240,Cleveland Cavaliers
.484,.500,26,15,6,7,36,.765,111,3,240,Houston Rockets
.523,.200,18,6,4,10,33,.765,105,9,240,Memphis Grizzlies
.398,.313,18,13,3,14,31,.806,113,8,265,San Antonio Spurs
.444,.333,23,12,2,13,36,.882,111,7,240,Dallas Mavericks
.514,.316,24,12,2,9,33,.667,104,5,240,Orlando Magic
.481,.316,25,15,7,18,39,.630,123,8,290,Chicago Bulls
.481,.429,24,12,5,10,31,.778,106,9,240,Toronto Raptors
.488,.429,27,11,3,8,30,1.000,105,11,240,Utah Jazz
.477,.389,23,14,6,16,33,.926,116,6,240,Atlanta Hawks
.507,.154,19,17,4,10,35,.778,100,5,240,Los Angeles Clippers
.539,.308,33,11,8,8,27,.800,110,10,240,Boston Celtics
.459,.353,26,11,6,9,37,.750,99,8,240,Charlotte Bobcats
.468,.333,23,19,7,6,35,.800,98,4,240,Denver Nuggets
.562,.500,28,15,4,7,29,.824,103,5,240,Detroit Pistons
.389,.211,14,12,6,16,41,.878,110,7,265,Oklahoma City Thunder
.525,.533,24,12,11,6,27,.828,116,8,240,Memphis Grizzlies
.449,.375,19,9,3,12,27,.793,99,7,240,Miami Heat
.556,.452,26,13,3,4,29,.607,111,7,240,Orlando Magic
.476,.480,26,6,4,9,28,.788,116,9,240,Phoenix Suns
.515,.571,21,16,2,11,37,.700,97,5,240,New Orleans Hornets
.527,.313,28,14,3,10,29,.645,103,9,240,Dallas Mavericks
.494,.412,24,10,3,6,36,.895,102,4,240,Utah Jazz
.422,.348,21,14,9,11,35,.636,92,8,240,Cleveland Cavaliers
.460,.412,25,11,3,13,33,.864,106,8,240,Dallas Mavericks
.458,.385,25,12,2,9,23,.824,104,7,240,Milwaukee Bucks
.506,.667,26,10,3,6,26,.706,104,16,240,Golden State Warriors
.438,.385,22,6,2,11,33,.786,99,6,240,Atlanta Hawks
.512,.385,29,5,5,10,35,.611,102,4,240,Philadelphia 76ers
.429,.273,23,12,5,10,34,.818,96,8,240,Chicago Bulls
.462,.381,19,13,4,10,28,.741,100,5,240,Orlando Magic
.518,.533,28,10,7,15,34,.692,138,5,240,Denver Nuggets
.466,.395,31,18,3,13,35,.824,125,7,290,New York Knicks
.452,.588,26,11,5,16,28,.650,99,5,240,Houston Rockets
.586,.381,34,10,8,4,24,.760,109,8,240,Utah Jazz
.432,.174,26,14,6,15,33,.789,95,7,240,Indiana Pacers
.525,.500,22,16,5,3,30,.829,98,5,240,New Jersey Nets
.488,.360,25,10,5,11,31,.800,109,7,240,San Antonio Spurs
.468,.444,24,10,5,7,37,.700,96,6,240,Atlanta Hawks
.494,.375,23,15,5,9,38,.895,101,4,240,Dallas Mavericks
.459,.333,15,15,6,9,36,.786,105,6,240,Miami Heat
.378,.350,17,18,9,16,40,.897,95,10,240,Oklahoma City Thunder
.548,.294,28,18,10,16,32,.857,109,8,240,Utah Jazz
.506,.385,29,13,8,8,41,.565,106,7,240,Boston Celtics
.462,.333,31,11,3,13,37,.871,118,13,240,San Antonio Spurs
.488,.667,16,6,11,5,24,.750,98,4,240,Memphis Grizzlies
.513,.211,21,12,6,8,34,.862,111,6,240,New York Knicks
