twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam,gameid
.556,.478,28,14,1,11,24,.773,118,7,240,Phoenix Suns,52f2f60c90a49484183287bd
.451,.529,27,11,4,13,33,.679,102,8,240,Detroit Pistons,52f2f60d90a49484183287be
.442,.313,23,6,4,10,39,.830,120,9,240,Houston Rockets,52f2f60e90a49484183287bf
.549,.471,33,15,4,14,35,.867,121,6,240,Los Angeles Lakers,52f2f60e90a49484183287c0
.474,.389,20,16,3,8,37,.714,106,9,240,Philadelphia 76ers,52f2f60f90a49484183287c1
.474,.400,22,11,3,8,32,.800,92,9,240,Boston Celtics,52f2f61090a49484183287c2
.424,.462,22,16,9,15,31,.647,95,9,240,San Antonio Spurs,52f2f61090a49484183287c3
.415,.385,20,15,12,8,39,.636,94,6,240,Chicago Bulls,52f2f61190a49484183287c4
.500,.400,20,17,8,4,34,.850,89,6,240,Dallas Mavericks,52f2f61290a49484183287c5
.476,.333,19,14,2,16,29,.857,109,12,240,Memphis Grizzlies,52f2f61390a49484183287c6
.430,.182,16,10,2,11,32,.625,93,9,240,Orlando Magic,52f2f61390a49484183287c7
.527,.313,19,20,7,11,31,.813,109,13,240,Golden State Warriors,52f2f61490a49484183287c8
.644,.533,37,14,7,10,35,.762,144,7,240,Indiana Pacers,52f2f61590a49484183287c9
.449,.333,24,18,3,14,28,.750,99,9,240,Los Angeles Lakers,52f2f61590a49484183287ca
.484,.421,30,12,5,10,34,.857,116,6,265,Utah Jazz,52f2f61690a49484183287cb
.513,.313,18,13,5,12,33,.786,107,9,240,Milwaukee Bucks,52f2f61790a49484183287cc
.439,.529,27,8,2,12,32,.545,93,2,240,Cleveland Cavaliers,52f2f61890a49484183287cd
.506,.500,29,13,7,5,28,.714,101,11,240,New Orleans Hornets,52f2f61890a49484183287ce
.500,.429,26,14,5,11,34,.875,100,10,240,Portland Trail Blazers,52f2f61990a49484183287cf
.517,.533,23,12,3,11,33,.714,108,11,240,Milwaukee Bucks,52f2f61a90a49484183287d0
.415,.471,21,8,5,15,33,.543,95,4,240,New Jersey Nets,52f2f61b90a49484183287d1
.541,.360,30,9,5,11,38,.455,106,8,240,Dallas Mavericks,52f2f61b90a49484183287d2
.528,.500,23,14,3,9,27,.719,122,13,240,Golden State Warriors,52f2f61c90a49484183287d3
.493,.143,17,14,7,5,29,.946,109,11,240,Oklahoma City Thunder,52f2f61d90a49484183287d4
.500,.357,24,14,3,6,29,.893,104,7,240,Utah Jazz,52f2f61e90a49484183287d5
.471,.364,15,15,2,12,29,.600,98,5,240,Minnesota Timberwolves,52f2f61e90a49484183287d6
.493,.611,21,16,11,10,31,.867,107,6,240,San Antonio Spurs,52f2f61f90a49484183287d7
.493,.429,23,16,13,8,28,.818,101,9,240,Charlotte Bobcats,52f2f62090a49484183287d8
.443,.462,25,17,10,16,35,.636,98,10,240,Washington Wizards,52f2f62190a49484183287d9
.548,.368,29,12,10,11,35,.913,120,14,240,Chicago Bulls,52f2f62190a49484183287da
.489,.280,25,10,5,11,32,.806,118,5,240,Denver Nuggets,52f2f62290a49484183287db
.544,.563,24,10,0,9,26,.680,112,5,240,Boston Celtics,52f2f62390a49484183287dc
.429,.333,25,9,3,15,28,.737,90,7,240,Utah Jazz,52f2f62490a49484183287dd
.443,.273,19,10,4,16,31,.793,99,10,240,Dallas Mavericks,52f2f62490a49484183287de
.500,.389,17,15,9,9,32,.680,102,9,240,Houston Rockets,52f2f62590a49484183287df
.476,.611,21,11,3,7,27,.667,113,10,265,Detroit Pistons,52f2f62690a49484183287e0
.436,.400,22,14,8,17,39,.762,112,9,240,Minnesota Timberwolves,52f2f62690a49484183287e1
.548,.500,20,12,8,9,21,.923,110,8,240,Oklahoma City Thunder,52f2f62790a49484183287e2
